school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3,Feature_1,Feature_2,Feature_3,romantic
GP,F,U,GT3,A,4,4.0,at_home,teacher,course,mother,2.0,0,yes,no,no,no,yes,yes,no,4,3.0,4,1,3,4.0,0,11.0,11,18.0,2.0,1.0,no
GP,F,U,GT3,T,1,1.0,at_home,other,course,father,1.0,0,no,yes,no,no,no,yes,yes,5,3.0,3,1,3,2.0,9,11.0,11,17.0,2.0,1.0,no
GP,F,U,LE3,T,1,1.0,at_home,other,other,mother,1.0,0,yes,no,no,no,yes,yes,yes,4,3.0,2,2,3,6.0,12,13.0,12,15.0,2.0,3.0,no
GP,F,U,GT3,T,4,2.0,health,services,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,3,2.0,2,1,5,0.0,14,14.0,14,15.0,3.0,1.0,yes
GP,F,U,GT3,T,3,3.0,other,other,home,father,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,2,1,5,0.0,11,13.0,13,16.0,2.0,2.0,no
GP,M,U,LE3,T,4,3.0,services,other,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,2,1,5,6.0,12,12.0,13,17.0,2.0,2.0,no
GP,M,U,GT3,T,2,2.0,other,other,home,mother,1.0,0,no,no,no,no,yes,yes,yes,4,4.0,4,1,3,0.0,13,12.0,13,16.0,2.0,1.0,no
GP,F,U,GT3,A,4,4.0,other,teacher,home,mother,1.0,0,yes,yes,no,no,yes,yes,no,4,1.0,4,1,1,2.0,10,13.0,13,17.0,2.0,1.0,no
GP,M,U,LE3,A,3,2.0,services,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,2.0,2,1,1,0.0,15,16.0,17,15.0,2.0,1.0,no
GP,M,U,GT3,T,3,4.0,other,other,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,5.0,1,1,5,0.0,12,12.0,13,15.0,2.0,1.0,no
GP,F,U,GT3,T,4,4.0,teacher,health,reputation,mother,1.0,0,no,yes,no,no,yes,yes,yes,3,3.0,3,1,2,2.0,14,14.0,14,15.0,2.0,2.0,no
GP,F,U,GT3,T,2,2.0,services,other,reputation,father,3.0,0,no,yes,no,yes,yes,yes,yes,5,2.0,2,1,4,0.0,10,12.0,13,15.0,3.0,1.0,no
GP,M,U,LE3,T,4,4.0,health,services,course,father,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,3,1,5,0.0,12,13.0,12,15.0,1.0,3.0,no
GP,M,U,GT3,T,4,3.0,teacher,other,course,mother,2.0,0,no,yes,no,no,yes,yes,yes,5,4.0,3,1,3,0.0,12,12.0,13,15.0,2.0,2.0,no
GP,M,U,GT3,A,2,2.0,other,other,home,other,1.0,0,no,yes,no,no,yes,yes,yes,4,5.0,2,1,3,0.0,14,14.0,15,15.0,3.0,1.0,yes
GP,F,U,GT3,T,4,4.0,health,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,4.0,4,1,2,6.0,17,17.0,17,16.0,1.0,2.0,no
GP,F,U,GT3,T,4,4.0,services,services,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,3,2.0,3,1,2,10.0,13,13.0,14,16.0,3.0,2.0,no
GP,F,U,GT3,T,3,3.0,other,other,reputation,mother,1.0,0,yes,yes,no,yes,yes,yes,no,5,3.0,2,1,4,2.0,13,14.0,14,16.0,2.0,1.0,no
GP,M,U,GT3,T,3,2.0,services,services,course,mother,1.0,3,no,yes,yes,yes,yes,yes,yes,5,5.0,5,2,5,2.0,8,8.0,7,17.0,1.0,4.0,no
GP,M,U,LE3,T,4,3.0,health,other,home,father,1.0,0,no,no,no,yes,yes,yes,yes,3,1.0,3,1,5,6.0,12,12.0,12,16.0,1.0,1.0,no
GP,M,U,GT3,T,4,3.0,teacher,other,reputation,mother,1.0,0,no,no,no,no,yes,yes,yes,4,4.0,1,1,1,0.0,12,13.0,14,15.0,2.0,1.0,no
